legacy_row,guild_name,note,is_sentinel
11,AlmaVivaJP,,False
12,Anino,,False
13,Astrklotho,,False
14,Bagaиі,特定中,False
15,βυsнỉȉdo家族,特定中,False
16,C0BRA,,False
17,Demise,,False
18,Döraêmön,,False
19,elancia,,False
20,Elemento,,False
21,Etërnîty,,False
22,FーRedDiva,,False
23,FLORISTS,,False
24,GALAKSI,,False
25,Иouver,,False
26,kaioken,,False
27,Kopitiam,,False
28,Lastcrop,,False
29,LeLien,,False
30,Lunaris,,False
31,Maverickz,,False
32,MelonEmpire,,False
33,MÏRÃGË,,False
34,彡MukBANG彡,,False
35,MystSA,,False
36,M三OW,,False
37,Orzeca,,False
38,ouтcasт,,False
39,Pandora,,False
40,PhoenixJP,,False
41,PokemonGo,,False
42,PONYTAIL,,False
43,rabbits,,False
44,RaиkSS,,False
45,RëBîrth,,False
46,REGENCY彡,,False
47,Relax,,False
48,Restart,,False
49,Revenant,,False
50,SERENITY,,False
51,SkyCastle,,False
52,一SUN一,,False
53,TheEnd,,False
54,TheUniverse,,False
55,TipsyTavern,,False
56,TRAITORs,,False
57,UnityJP,,False
58,UprisE,,False
59,VainqueurJP,,False
60,xAEGISx,,False
61,ZirconiA,,False
62,オアシスステップ,,False
63,シェイド,,False
64,ジェラルド小隊,,False
65,ねこ,,False
66,のら猫,,False
67,ひよこ座流星群,,False
68,ひよこりあ,,False
69,フロンティア,,False
70,ぽっぽっぽ,,False
71,ムpocalypse,,False
72,やんのかステップ,,False
73,磯野家,,False
74,雲淡風輕o,,False
75,海尼根飲酒俱樂部,,False
76,温柔郷,,False
77,海洋之心,,False
78,柿一門,,False
79,花落微雨醉紅塵,,False
80,氣噗噗讓玻璃心碎一地,,False
81,義勇,,False
82,黒の太陽,,False
83,月下の集い,,False
84,光焔HeRcules,,False
85,廣寒宮,,False
86,亗Luxúria亗,,False
87,桜吹雪,,False
88,・殺戮・,,False
89,殺戮THM,,False
90,沙漠黑鷹,,False
91,心晴,,False
92,雪狼族,,False
93,黄昏のえりしおん,,False
94,低調時尚,,False
95,天機,,False
96,天真爛漫ニャ向日葵,,False
97,東京熱株式會社,,False
98,微笑Party,,False
99,放置無言出入自由,,False
100,美孚冰室,,False
101,毛家村,,False
102,ーArchー,,False
103,一DEFlANCE,,False
104,ーEspoirー,,False
105,ーEuphoriaー,,False
106,ーORCAー,,False
107,ーオアシスー,,False
108,ーリベリオンー,,False
109,一惡人谷一,,False
110,ー宴ーJAPAN,,False
111,ー麒麟ー,,False
397,x,,True
